f,Z,Phi,L,QL,C,QC
26,0.26,-17.1,-0.47,0,80000,0
26.2,0.259,-17.1,-0.46,0,80000,0
26.4,0.259,-16.9,-0.46,0,80000,0
26.6,0.259,-16.9,-0.45,0,80000,0
26.8,0.259,-16.7,-0.44,0,80000,0
27,0.259,-16.6,-0.44,0,80000,0
27.2,0.259,-16.5,-0.43,0,80000,0
27.4,0.258,-16.4,-0.42,0,80000,0
27.6,0.258,-16.3,-0.42,0,80000,0
27.8,0.258,-16.2,-0.41,0,80000,0
28,0.258,-16.1,-0.41,0,80000,0
28.2,0.258,-16,-0.4,0,79000,0
28.4,0.258,-15.9,-0.4,0,79000,0
28.6,0.257,-15.8,-0.39,0,79000,0
28.8,0.257,-15.7,-0.38,0,79000,0
29,0.257,-15.6,-0.38,0,79000,0
29.2,0.257,-15.5,-0.38,0,79000,0
29.4,0.257,-15.4,-0.37,0,79000,0
29.6,0.257,-15.3,-0.37,0,79000,0
29.8,0.256,-15.2,-0.36,0,79000,0
30,0.256,-15.2,-0.36,0,79000,0
30.2,0.256,-15.1,-0.35,0,79000,0
30.4,0.256,-15,-0.35,0,79000,0
30.6,0.256,-14.9,-0.34,0,79000,0
30.8,0.256,-14.8,-0.34,0,79000,0
31,0.256,-14.7,-0.34,0,79000,0
31.2,0.256,-14.6,-0.33,0,79000,0
31.4,0.256,-14.6,-0.33,0,79000,0
31.6,0.255,-14.5,-0.32,0,79000,0
31.8,0.255,-14.4,-0.32,0,79000,0
32,0.255,-14.3,-0.31,0,79000,0
32.2,0.255,-14.2,-0.31,0,79000,0
32.4,0.255,-14.2,-0.31,0,79000,0
32.6,0.255,-14.1,-0.3,0,79000,0
32.8,0.255,-14,-0.3,0,79000,0
33,0.255,-13.9,-0.3,0,79000,0
33.2,0.255,-13.9,-0.29,0,79000,0
33.4,0.255,-13.8,-0.29,0,78000,0
33.6,0.254,-13.7,-0.29,0,79000,0
33.8,0.254,-13.7,-0.28,0,79000,0
34,0.254,-13.6,-0.28,0,78000,0
34.2,0.254,-13.5,-0.28,0,79000,0
34.4,0.254,-13.4,-0.27,0,78000,0
34.6,0.254,-13.4,-0.27,0,78000,0
34.8,0.254,-13.3,-0.27,0,78000,0
35,0.254,-13.2,-0.27,0,78000,0
35.2,0.254,-13.2,-0.26,0,78000,0
35.4,0.254,-13.1,-0.26,0,78000,0
35.6,0.254,-13,-0.26,0,78000,0
35.8,0.254,-12.9,-0.25,0,78000,0
36,0.253,-12.9,-0.25,0,78000,0
36.2,0.253,-12.8,-0.25,0,78000,0
